model,h,mae
chronos_bolt_small,1,8.414787108370774
chronos_bolt_small,2,11.413793907861264
chronos_bolt_small,3,12.047253384847858
chronos_bolt_small,4,11.462848680889815
chronos_bolt_small,5,14.512725399061466
chronos_bolt_small,6,10.039202574868757
chronos_bolt_small,7,14.01077897100176
chronos_bolt_small,8,11.597740543431174
chronos_bolt_small,9,10.941999597693242
chronos_bolt_small,10,7.234211138383477
chronos_bolt_small,11,6.862850098491885
chronos_bolt_small,12,5.20858444843596
chronos_bolt_small,13,6.356091288790868
chronos_bolt_small,14,8.353710245706122
chronos_bolt_small,15,10.793029213299512
chronos_bolt_small,16,10.806412499869607
chronos_bolt_small,17,7.008297736608836
chronos_bolt_small,18,10.1511121590383
chronos_bolt_small,19,7.673831666846086
chronos_bolt_small,20,4.855680986956895
chronos_bolt_small,21,6.793933352832417
chronos_bolt_small,22,7.240161302193372
chronos_bolt_small,23,8.549036459193225
chronos_bolt_small,24,8.020136937924667
chronos_bolt_small,25,10.00008553188482
chronos_bolt_small,26,12.21747146005653
chronos_bolt_small,27,16.258090526543427
chronos_bolt_small,28,13.559709000853223
ets,1,9.923363471694067
ets,2,11.994738216475891
ets,3,11.17813603322751
ets,4,12.691793525940408
ets,5,16.442224014574407
ets,6,11.756714453484365
ets,7,15.391437008015002
ets,8,14.627707743299966
ets,9,13.121060018772887
ets,10,10.869113661008011
ets,11,12.485442405415451
ets,12,10.637471204027495
ets,13,13.04511174544792
ets,14,16.05219598954991
ets,15,16.64146428824744
ets,16,15.49579650224508
ets,17,12.525661996980084
ets,18,14.77483302587077
ets,19,12.619474279054018
ets,20,13.93271340199335
ets,21,16.05913542523839
ets,22,15.219118519758132
ets,23,15.874215656231408
ets,24,14.99734135951943
ets,25,17.3747850091753
ets,26,19.620465958020123
ets,27,27.844912763621668
ets,28,21.32311038415037
lightgbm,1,4.331568605569928
lightgbm,2,5.656047091619572
lightgbm,3,4.585086150114224
lightgbm,4,8.357131430493428
lightgbm,5,7.336154833585888
lightgbm,6,4.928197817603982
lightgbm,7,5.676313778639335
lightgbm,8,4.284472456820992
lightgbm,9,4.489346304586296
lightgbm,10,4.59569046610278
lightgbm,11,5.393482767299658
lightgbm,12,4.118837053313656
lightgbm,13,5.777149137534383
lightgbm,14,6.0207064682038665
lightgbm,15,6.577762154521521
lightgbm,16,5.952159442840778
lightgbm,17,4.9848595396375845
lightgbm,18,5.324357380598737
lightgbm,19,6.349404508258208
lightgbm,20,6.031052374226033
lightgbm,21,5.218068693488598
lightgbm,22,6.089799372234959
lightgbm,23,6.009735935192071
lightgbm,24,5.422547159465299
lightgbm,25,6.834422558189578
lightgbm,26,6.994349380854906
lightgbm,27,9.839255409909045
lightgbm,28,7.171281440990685
seasonal_naive,1,11.202076069414055
seasonal_naive,2,13.976122814189903
seasonal_naive,3,13.198022417797112
seasonal_naive,4,12.58421610047726
seasonal_naive,5,15.53030816152969
seasonal_naive,6,12.180964171739488
seasonal_naive,7,17.700262209764706
seasonal_naive,8,12.658235443840281
seasonal_naive,9,11.55101520910338
seasonal_naive,10,8.169852178270988
seasonal_naive,11,8.521031602884621
seasonal_naive,12,4.77970729449925
seasonal_naive,13,7.392115828553379
seasonal_naive,14,11.569166703290248
seasonal_naive,15,11.268825998394503
seasonal_naive,16,10.85413840099378
seasonal_naive,17,8.645520552327564
seasonal_naive,18,9.39063778327084
seasonal_naive,19,9.308489852033468
seasonal_naive,20,5.597571392959075
seasonal_naive,21,10.101841361904123
seasonal_naive,22,8.18103257212395
seasonal_naive,23,7.420847956853169
seasonal_naive,24,8.166048944041371
seasonal_naive,25,10.52318487975469
seasonal_naive,26,11.618827938520326
seasonal_naive,27,17.262227984683204
seasonal_naive,28,17.660671230332973
